Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,Kamikazari no Tenshi,https://anilist.co/anime/108268/Honzuki-no-Gekokujou-Shisho-ni-Naru-Tame-ni-wa-Shudan-wo-Erandeiraremasen/,,https://animethemes.moe/video/HonzukiNoGekokujou-ED1.webm,
Hoshiai no Sora,Kago no Naka no Bokura wa,https://anilist.co/anime/104052/Hoshiai-no-Sora,,https://animethemes.moe/video/HoshiaiNoSora-ED1.webm,
Houkago Saikoro Club,On the Board,https://anilist.co/anime/104115/Houkago-Saikoro-Club/,,https://animethemes.moe/video/HoukagoSaikoroClub-ED1.webm,
Kabukicho Sherlock,Hyakuoku Kounen,https://anilist.co/anime/103638/Kabukicho-Sherlock,,https://animethemes.moe/video/KabukichouSherlock-ED1.webm,
Kandagawa Jet Girls,RIVALS,https://anilist.co/anime/110810/Kandagawa-Jet-Girls/,,https://animethemes.moe/video/KandagawaJetGirls-ED1.webm,
Keishicho Tokumubu Tokushu Kyoakuhan Taisakushitsu Dainanaka: Tokunana,One Wish,https://anilist.co/anime/108554/Keishicho-Tokumubu-Tokushu-Kyoakuhan-TaisakuShitsu-DaiNanaka-Tokunana/,,https://animethemes.moe/video/Tokunana-ED1.webm,
Kono Oto Tomare! 2nd Season,Rainbow,https://anilist.co/anime/108891/Kono-Oto-Tomare-2/,,https://animethemes.moe/video/KonoOtoTomareS2-ED1.webm,
Mairimashita! Iruma-kun,Devi-kyuu,https://anilist.co/anime/107693/Mairimashita-Irumakun/,,https://animethemes.moe/video/MairimashitaIrumaKun-ED1.webm,
Mono no Kamisama Cocotama,Happy Cocotama Dance!,https://anilist.co/anime/112036/Mono-no-Kamisama-Cocotama/,,https://animethemes.moe/video/MonoNoKamisamaCocotama-ED1.webm,
Nanatsu no Taizai: Kamigami no Gekirin,Regeneration,https://anilist.co/anime/108928/Nanatsu-no-Taizai-Kamigami-no-Gekirin/,,https://animethemes.moe/video/NanatsuNoTaizaiKamigamiNoGekirin-ED1.webm,
No Guns Life,Game Over,https://anilist.co/anime/108478/No-Guns-Life/,,https://animethemes.moe/video/NoGunsLife-ED1.webm,
Ore wo Suki nano wa Omae dake ka yo,Hanakotoba,https://anilist.co/anime/104464/Ore-wo-Suki-nano-wa-Omae-dake-ka-yo/,,https://animethemes.moe/video/Oresuki-ED1.webm,
Phantasy Star Online 2: Episode Oracle,Timeless Fortune,https://anilist.co/anime/108358/Phantasy-Star-Online-2-Episode-Oracle/,,https://animethemes.moe/video/PhantasyStarOnline2EpisodeOracle-ED1.webm,
Psycho-Pass 3,Bullet,https://anilist.co/anime/108307/PSYCHOPASS-3,,https://animethemes.moe/video/PsychoPassS3-ED1.webm,
Radiant 2,Chitto mo Shiranakatta,https://anilist.co/anime/108040/Radiant-2/,,https://animethemes.moe/video/RadiantS2-ED1.webm,
Rifle!!!! is beautiful,Yuuyake Friends,https://anilist.co/anime/104679/Rifle-Is-Beautiful/,,https://animethemes.moe/video/RifleIsBeautiful-ED1.webm,
Shin Chuuka Ichiban,Paradigm Shift,https://anilist.co/anime/107666/Shin-Chuuka-Ichiban/,,https://animethemes.moe/video/ShinChuukaIchiban-ED1.webm,
Kono Yuusha ga Ore TUEEE Kuse ni Shinchou Sugiru,"be perfect, plz!",https://anilist.co/anime/105156/Shinchou-Yuusha-Kono-Yuusha-ga-Ore-TUEEE-Kuse-ni-Shinchou-Sugiru,,https://animethemes.moe/video/ShinchouYuusha-ED1.webm,
Shokugeki no Soma: Shin no Sara,Emblem,https://anilist.co/anime/109963/Shokugeki-no-Souma-Shin-no-Sara/,,https://animethemes.moe/video/ShokugekiNoSoumaShinNoSara-ED1.webm,
Stand my Heroes: Piece of Truth,Precious My Heroes,https://anilist.co/anime/104158/Stand-My-Heroes-PIECE-OF-TRUTH,,https://animethemes.moe/video/StandMyHeroes-ED1.webm,
Super Shiro,SUPER SHIRO,https://anilist.co/anime/107993/SUPER-SHIRO,,https://animethemes.moe/video/SuperShiro-ED1.webm,
Sword Art Online: Alicization - War of Underworld,unlasting,https://anilist.co/anime/108759/Sword-Art-Online-Alicization--War-of-Underworld/,,https://animethemes.moe/video/SwordArtOnlineAlicizationS2-ED1.webm,
Sword Art Online: Alicization - War of Underworld Reflection,Blazing the future,https://myanimelist.net/anime/40489/,,https://animethemes.moe/video/SwordArtOnlineAlicizationReflection-ED1.webm,
Tenka Hyakken: Meiji-kan e Youkoso,"Ana, Hana wo Sakasete",https://anilist.co/anime/111400/Tenka-Hyakken-Meijikan-e-Youkoso,,https://animethemes.moe/video/TenkaHyakken-OP1.webm,
Val x Love,UP-DATE x PLEASE!!! ver. 1.7.8,https://anilist.co/anime/109321/Val-x-Love/,,https://animethemes.moe/video/ValXLove-ED1.webm,
Val x Love,UP-DATE x PLEASE!!! ver. 3.4.5,https://anilist.co/anime/109321/Val-x-Love/,1.2,https://animethemes.moe/video/ValXLove-ED2.webm,
Val x Love,UP-DATE x PLEASE!!! ver. 2.6.9,https://anilist.co/anime/109321/Val-x-Love/,1.3,https://animethemes.moe/video/ValXLove-ED3.webm,
"Watashi, Nouryoku wa Heikinchi de tte itta yo ne!",Genzai↑ Banzai↑,https://anilist.co/anime/101227/Watashi-Nouryoku-wa-Heikinchi-de-tte-Itta-yo-ne/,,https://animethemes.moe/video/Noukin-ED1.webm,
"Yuru Yuri,",Ripitte Chime♪,https://anilist.co/anime/102090/Yuru-Yuri/,,https://animethemes.moe/video/YuruYuriTen-ED1.webm,
Z/X: Code Reunion,Girl Meets Girl V1,https://anilist.co/anime/100246/ZX-Code-Reunion/,,https://animethemes.moe/video/ZXCodeReunion-ED1.webm,
Z/X: Code Reunion,Girl Meets Girl V2,https://anilist.co/anime/100246/ZX-Code-Reunion/,1.2,https://animethemes.moe/video/ZXCodeReunion-ED2.webm,
Zoids Wild Zero,Hikari,https://anilist.co/anime/110788/Zoids-Wild-Zero/,,https://animethemes.moe/video/ZoidsWildZero-ED1.webm,
Araburu Kisetsu no Otomedomo-yo,Yume Cinderella V1,https://anilist.co/anime/105932/Araburu-Kisetsu-no-Otomedomo-yo/,,https://animethemes.moe/video/Araoto-ED1.webm,
Araburu Kisetsu no Otomedomo-yo,Yume Cinderella V2,https://anilist.co/anime/105932/Araburu-Kisetsu-no-Otomedomo-yo/,1.2,https://animethemes.moe/video/Araoto-ED1v2.webm,
Arifureta Shokugyou de Sekai Saikyou,Hajime no Uta,https://anilist.co/anime/100668/Arifureta-Shokugyou-de-Sekai-Saikyou/,,https://animethemes.moe/video/Arifureta-ED1.webm,
BEM,Iru Imi,https://anilist.co/anime/107876/BEM/,,https://animethemes.moe/video/Bem-ED1.webm,
Business Fish,Don't Stop Moving,https://anilist.co/anime/110124/Business-Fish/,,https://animethemes.moe/video/BusinessFish-ED1.webm,
Business Fish,Sudara Bushi,https://anilist.co/anime/110124/Business-Fish/,2,https://animethemes.moe/video/BusinessFish-ED2.webm,
Cannon Busters,Regardless,https://anilist.co/anime/111131/Cannon-Busters/,,https://animethemes.moe/video/CannonBusters-ED1.webm,
Cardfight!! Vanguard: Shinemon-hen,Gift,https://anilist.co/anime/111144/Cardfight-Vanguard-Shinemonhen/,,https://animethemes.moe/video/CardfightVanguardShinemonHen-ED1.webm,
Cop Craft,Connected,https://anilist.co/anime/106893/Cop-Craft/,,https://animethemes.moe/video/CopCraft-ED1.webm,
Cop Craft: Utsukushiki Onna Kishi! Toraware no Yousei wo Oe!,Nonfiction,https://myanimelist.net/anime/40405/,,https://animethemes.moe/video/CopCraftRecap-ED1.webm,
