name,songname,anilist,type,link
High Card Season 2,Hakuchuumu,163151,ED,https://v.animethemes.moe/HighCardS2-ED1.webm
High Card Season 2,Hakuchuumu,163151,ED,https://v.animethemes.moe/HighCardS2-ED1v2.webm
High Card Season 2,Hakuchuumu,163151,ED,https://v.animethemes.moe/HighCardS2-ED1v3.webm
Synduality: Noir Part 2,Aire,169559,OP,https://v.animethemes.moe/SyndualityNoirPart2-OP1.webm
Synduality: Noir Part 2,Drifters,169559,ED,https://v.animethemes.moe/SyndualityNoirPart2-ED1.webm
Tsuki ga Michibiku Isekai Douchuu 2nd Season,Utopia,139518,OP1,https://v.animethemes.moe/TsukimichiS2-OP1.webm
Tsuki ga Michibiku Isekai Douchuu 2nd Season,Aa Jinsei ni Namida Ari,139518,ED1,https://v.animethemes.moe/TsukimichiS2-ED1.webm
Tsuki ga Michibiku Isekai Douchuu 2nd Season,My Factor,139518,ED2,https://v.animethemes.moe/TsukimichiS2-ED2.webm
Tsuki ga Michibiku Isekai Douchuu 2nd Season,Reversal,139518,OP2,https://v.animethemes.moe/TsukimichiS2-OP2.webm
Tsuki ga Michibiku Isekai Douchuu 2nd Season,Joshiki Hazure Human,139518,ED3,https://v.animethemes.moe/TsukimichiS2-ED3.webm
Tsuki ga Michibiku Isekai Douchuu 2nd Season,Aa Jinsei ni Namida Ari,139518,ED4,https://v.animethemes.moe/TsukimichiS2-ED4.webm
Oroka na Tenshi wa Akuma to Odoru,Otowa,164244,OP,https://v.animethemes.moe/OrokaNaTenshi-OP1.webm
Oroka na Tenshi wa Akuma to Odoru,Gift,164244,ED,https://v.animethemes.moe/OrokaNaTenshi-ED1.webm
"Himesama ""Goumon"" no Jikan desu",Massakasa Magic!,166522,OP,https://v.animethemes.moe/HimesamaGoumon-OP1.webm
"Himesama ""Goumon"" no Jikan desu",Massakasa Magic!,166522,OP,https://v.animethemes.moe/HimesamaGoumon-OP1-NCBD1080.webm
"Himesama ""Goumon"" no Jikan desu",Ashita wa Ashita no Kaze ga Fuku,166522,ED,https://v.animethemes.moe/HimesamaGoumon-ED1.webm
"Himesama ""Goumon"" no Jikan desu",Ashita wa Ashita no Kaze ga Fuku,166522,ED,https://v.animethemes.moe/HimesamaGoumon-ED1v2.webm
"Himesama ""Goumon"" no Jikan desu",Ashita wa Ashita no Kaze ga Fuku,166522,ED,https://v.animethemes.moe/HimesamaGoumon-ED1v3.webm
"Himesama ""Goumon"" no Jikan desu",Ashita wa Ashita no Kaze ga Fuku,166522,ED,https://v.animethemes.moe/HimesamaGoumon-ED1v4.webm
"Himesama ""Goumon"" no Jikan desu",Ashita wa Ashita no Kaze ga Fuku,166522,ED,https://v.animethemes.moe/HimesamaGoumon-ED1v4-NCBD1080.webm
Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,Ray of Light,163076,OP1,https://v.animethemes.moe/AkuyakuLv99-OP1.webm
Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,LOVE or HATE?,163076,OP2,https://v.animethemes.moe/AkuyakuLv99-OP2.webm
Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,Suki ga Levechi,163076,ED,https://v.animethemes.moe/AkuyakuLv99-ED1.webm
Ishura,Shura ni Otoshite,161476,OP,https://v.animethemes.moe/Ishura-OP1.webm
Ishura,Hakka,161476,ED,https://v.animethemes.moe/Ishura-ED1.webm
Gekai Elise,believer,162144,OP,https://v.animethemes.moe/GekaiElise-OP1.webm
Gekai Elise,Listen,162144,ED,https://v.animethemes.moe/GekaiElise-ED1.webm
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,Minor Piece,146066,OP,https://v.animethemes.moe/YoukosoZitsuS3-OP1.webm
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,Minor Piece,146066,OP,https://v.animethemes.moe/YoukosoZitsuS3-OP1-NCBD1080.webm
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,Minor Piece,146066,OP,https://v.animethemes.moe/YoukosoZitsuS3-OP1v2.webm
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,Konse Daikakumei,146066,ED1,https://v.animethemes.moe/YoukosoZitsuS3-ED1.webm
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,Konse Daikakumei,146066,ED1,https://v.animethemes.moe/YoukosoZitsuS3-ED1-NCBD1080.webm
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,Fixer,146066,ED2,https://v.animethemes.moe/YoukosoZitsuS3-ED2.webm
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,Fixer,146066,ED2,https://v.animethemes.moe/YoukosoZitsuS3-ED2v2.webm
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,Caste Room,146066,ED3,https://v.animethemes.moe/YoukosoZitsuS3-ED3.webm
30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,Hajimete wa Zenbu Kimi ga Ii,167087,OP,https://v.animethemes.moe/CheriMaho-OP1.webm
30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,Magical Love,167087,ED,https://v.animethemes.moe/CheriMaho-ED1.webm
Dungeon Meshi,Sleep Walking Orchestra,153518,OP1,https://v.animethemes.moe/DungeonMeshi-OP1.webm
Dungeon Meshi,Sleep Walking Orchestra,153518,OP1,https://v.animethemes.moe/DungeonMeshi-OP1-NCBD1080.webm
Dungeon Meshi,Party!!,153518,ED1,https://v.animethemes.moe/DungeonMeshi-ED1.webm
Dungeon Meshi,Party!!,153518,ED1,https://v.animethemes.moe/DungeonMeshi-ED1-NCBD1080.webm
Dungeon Meshi,Unmei,153518,OP2,https://v.animethemes.moe/DungeonMeshi-OP2.webm
Dungeon Meshi,Unmei,153518,OP2,https://v.animethemes.moe/DungeonMeshi-OP2-NCBD1080.webm
Dungeon Meshi,Unmei,153518,OP2,https://v.animethemes.moe/DungeonMeshi-OP2v2.webm
Dungeon Meshi,Unmei,153518,OP2,https://v.animethemes.moe/DungeonMeshi-OP2v2-NCBD1080.webm
Dungeon Meshi,Kirakira no Hai,153518,ED2,https://v.animethemes.moe/DungeonMeshi-ED2.webm
