name,songname,anilist,type,link
Koori Zokusei Danshi to Cool na Douryou Joshi,FROZEN MIDNIGHT,151252,OP,https://v.animethemes.moe/KooriZokuseiDanshiToCoolNaDouryouJoshi-OP1.webm
Koori Zokusei Danshi to Cool na Douryou Joshi,Linaria,151252,ED,https://v.animethemes.moe/KooriZokuseiDanshiToCoolNaDouryouJoshi-ED1.webm
Koori Zokusei Danshi to Cool na Douryou Joshi,Linaria,151252,ED,https://v.animethemes.moe/KooriZokuseiDanshiToCoolNaDouryouJoshi-ED1v2.webm
Koori Zokusei Danshi to Cool na Douryou Joshi,Linaria,151252,ED,https://v.animethemes.moe/KooriZokuseiDanshiToCoolNaDouryouJoshi-ED1v3.webm
Koori Zokusei Danshi to Cool na Douryou Joshi,Linaria,151252,ED,https://v.animethemes.moe/KooriZokuseiDanshiToCoolNaDouryouJoshi-ED1v4.webm
Koori Zokusei Danshi to Cool na Douryou Joshi,Linaria,151252,ED,https://v.animethemes.moe/KooriZokuseiDanshiToCoolNaDouryouJoshi-ED1v5.webm
Spy Kyoushitsu,Tomoshibi,146323,OP,https://v.animethemes.moe/SpyKyoushitsu-OP1.webm
Spy Kyoushitsu,Secret Code,146323,ED1,https://v.animethemes.moe/SpyKyoushitsu-ED1.webm
Spy Kyoushitsu,Fool on the secret,146323,ED2,https://v.animethemes.moe/SpyKyoushitsu-ED2.webm
Spy Kyoushitsu,DON'T,146323,ED3,https://v.animethemes.moe/SpyKyoushitsu-ED3.webm
Spy Kyoushitsu,SPARKLEscape,146323,ED4,https://v.animethemes.moe/SpyKyoushitsu-ED4.webm
Spy Kyoushitsu,Itsuwarinai Koufuku wo,146323,ED5,https://v.animethemes.moe/SpyKyoushitsu-ED5.webm
Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,Glorious World,137909,OP,https://v.animethemes.moe/NingenFushin-OP1.webm
Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,Never Fear,137909,ED,https://v.animethemes.moe/NingenFushin-ED1.webm
Tensei Oujo to Tensai Reijou no Mahou Kakumei,Arc-en-ciel,153629,OP,https://v.animethemes.moe/TentenKakumei-OP1.webm
Tensei Oujo to Tensai Reijou no Mahou Kakumei,Only for you,153629,ED,https://v.animethemes.moe/TentenKakumei-ED1.webm
Tensei Oujo to Tensai Reijou no Mahou Kakumei,Only for you,153629,ED,https://v.animethemes.moe/TentenKakumei-ED1v2.webm
Tensei Oujo to Tensai Reijou no Mahou Kakumei,Only for you,153629,ED,https://v.animethemes.moe/TentenKakumei-ED1v3.webm
Bungou Stray Dogs 4th Season,TRUE STORY,141249,OP,https://v.animethemes.moe/BungouStrayDogsS4-OP1.webm
Bungou Stray Dogs 4th Season,TRUE STORY,141249,OP,https://v.animethemes.moe/BungouStrayDogsS4-OP1v2.webm
Bungou Stray Dogs 4th Season,TRUE STORY,141249,OP,https://v.animethemes.moe/BungouStrayDogsS4-OP1v3.webm
Bungou Stray Dogs 4th Season,Shirushi,141249,ED,https://v.animethemes.moe/BungouStrayDogsS4-ED1.webm
Technoroid: Overmind,Invisible -one heart-,141062,ED,https://v.animethemes.moe/Technoroid-ED1.webm
Technoroid: Overmind,LOVE NO HATE,141062,OP,https://v.animethemes.moe/Technoroid-OP1.webm
Tsurune: Tsunagari no Issha,°C,153841,OP,https://v.animethemes.moe/TsuruneS2-OP1.webm
Tsurune: Tsunagari no Issha,Hitominaka,153841,ED,https://v.animethemes.moe/TsuruneS2-ED1.webm
Tomo-chan wa Onnanoko!,Kurae! Telepathy,151806,OP,https://v.animethemes.moe/TomoChanWaOnnanoko-OP1.webm
Tomo-chan wa Onnanoko!,yurukuru＊love,151806,ED1,https://v.animethemes.moe/TomoChanWaOnnanoko-ED1.webm
Tomo-chan wa Onnanoko!,Jiribaki_love,151806,ED2,https://v.animethemes.moe/TomoChanWaOnnanoko-ED2.webm
Revenger,Down Timer,155202,OP,https://v.animethemes.moe/Revenger-OP1.webm
Revenger,un_mute,155202,ED,https://v.animethemes.moe/Revenger-ED1.webm
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen,Shikou,155211,OP,https://v.animethemes.moe/DanMachiS4Part2-OP1.webm
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen,Kirikizu,155211,ED,https://v.animethemes.moe/DanMachiS4Part2-ED1.webm
Oniichan wa Oshimai!,Identeitei Meltdown,147864,OP,https://v.animethemes.moe/Onimai-OP1.webm
Oniichan wa Oshimai!,Himegoto＊Crisisters,147864,ED,https://v.animethemes.moe/Onimai-ED1.webm
Inu ni Nattara Suki na Hito ni Hirowareta.,Gyakkyou☆Fuwaku☆Fraction,146346,OP,https://v.animethemes.moe/Inuhiro-OP1.webm
Inu ni Nattara Suki na Hito ni Hirowareta.,Gyakkyou☆Fuwaku☆Fraction,146346,OP,https://v.animethemes.moe/Inuhiro-OP1v2.webm
Inu ni Nattara Suki na Hito ni Hirowareta.,Let's Go My House!!!,146346,ED1,https://v.animethemes.moe/Inuhiro-ED1.webm
Inu ni Nattara Suki na Hito ni Hirowareta.,Let's Go My House!!!,146346,ED1,https://v.animethemes.moe/Inuhiro-ED1v2.webm
Inu ni Nattara Suki na Hito ni Hirowareta.,Let's Go My House!!! Karen Inukai ver.,146346,ED2,https://v.animethemes.moe/Inuhiro-ED2.webm
Inu ni Nattara Suki na Hito ni Hirowareta.,Let's Go My House!!! Karen Inukai ver.,146346,ED2,https://v.animethemes.moe/Inuhiro-ED2v2.webm
Inu ni Nattara Suki na Hito ni Hirowareta.,Let's Go My House!!! Mike Nekotani ver.,146346,ED3,https://v.animethemes.moe/Inuhiro-ED3.webm
Inu ni Nattara Suki na Hito ni Hirowareta.,Let's Go My House!!! Mike Nekotani ver.,146346,ED3,https://v.animethemes.moe/Inuhiro-ED3v2.webm
Inu ni Nattara Suki na Hito ni Hirowareta.,Let's Go My House!!! Usagi Tsukishiro ver.,146346,ED4,https://v.animethemes.moe/Inuhiro-ED4.webm
Inu ni Nattara Suki na Hito ni Hirowareta.,Let's Go My House!!! Usagi Tsukishiro ver.,146346,ED4,https://v.animethemes.moe/Inuhiro-ED4v2.webm
Hyouken no Majutsushi ga Sekai wo Suberu,Dystopia,148116,OP,https://v.animethemes.moe/Hyouken-OP1.webm
Hyouken no Majutsushi ga Sekai wo Suberu,Loud Hailer,148116,ED,https://v.animethemes.moe/Hyouken-ED1.webm
Hyouken no Majutsushi ga Sekai wo Suberu,Loud Hailer,148116,ED,https://v.animethemes.moe/Hyouken-ED1v2.webm
Isekai Nonbiri Nouka,Flower Ring,146850,OP,https://v.animethemes.moe/IsekaiNonbiriNouka-OP1.webm
Isekai Nonbiri Nouka,Feel the winds,146850,ED,https://v.animethemes.moe/IsekaiNonbiriNouka-ED1.webm
Isekai Nonbiri Nouka,Feel the winds,146850,ED,https://v.animethemes.moe/IsekaiNonbiriNouka-ED1v2.webm
Isekai Nonbiri Nouka,Feel the winds,146850,ED,https://v.animethemes.moe/IsekaiNonbiriNouka-ED1v3.webm
Isekai Nonbiri Nouka,Feel the winds,146850,ED,https://v.animethemes.moe/IsekaiNonbiriNouka-ED1v4.webm
Isekai Nonbiri Nouka,Feel the winds,146850,ED,https://v.animethemes.moe/IsekaiNonbiriNouka-ED1v5.webm
Isekai Nonbiri Nouka,Feel the winds,146850,ED,https://v.animethemes.moe/IsekaiNonbiriNouka-ED1v6.webm
Sugar Apple Fairy Tale,Musical,139821,OP,https://v.animethemes.moe/SugarAppleFairyTale-OP1.webm
Sugar Apple Fairy Tale,Kanaeru,139821,ED1,https://v.animethemes.moe/SugarAppleFairyTale-ED1.webm
Sugar Apple Fairy Tale,I Will Go On,139821,ED2,https://v.animethemes.moe/SugarAppleFairyTale-ED2.webm
Nijiyon Animation,Wachu Gonna Do,154785,ED1,https://v.animethemes.moe/Nijiyon-ED1.webm
Nijiyon Animation,Wachu Gonna Do (1-nensei + Yuu Ver.),154785,ED2,https://v.animethemes.moe/Nijiyon-ED2.webm
Nijiyon Animation,Wachu Gonna Do (2-nensei + Yuu Ver.),154785,ED3,https://v.animethemes.moe/Nijiyon-ED3.webm
Nijiyon Animation,Wachu Gonna Do (3-nensei + Yuu Ver.),154785,ED4,https://v.animethemes.moe/Nijiyon-ED4.webm
Nijiyon Animation,CHASE!,154785,ED5,https://v.animethemes.moe/Nijiyon-ED5.webm
The Legend of Heroes: Sen no Kiseki - Northern War,The story so far,130696,OP,https://v.animethemes.moe/TheLegendOfHeroesSenNoKisekiNorthernWar-OP1.webm
The Legend of Heroes: Sen no Kiseki - Northern War,proud hero,130696,ED,https://v.animethemes.moe/TheLegendOfHeroesSenNoKisekiNorthernWar-ED1.webm
The Legend of Heroes: Sen no Kiseki - Northern War,proud hero,130696,ED,https://v.animethemes.moe/TheLegendOfHeroesSenNoKisekiNorthernWar-ED1v2.webm
Buddy Daddies,SHOCK!,155907,OP,https://v.animethemes.moe/BuddyDaddies-OP1.webm
Buddy Daddies,SHOCK!,155907,OP,https://v.animethemes.moe/BuddyDaddies-OP1v2.webm
Buddy Daddies,My Plan,155907,ED,https://v.animethemes.moe/BuddyDaddies-ED1.webm
Ars no Kyojuu,Hengenjizai,155089,OP,https://v.animethemes.moe/ArsNoKyojuu-OP1.webm
Ars no Kyojuu,Namonai Hana,155089,ED1,https://v.animethemes.moe/ArsNoKyojuu-ED1.webm
Ars no Kyojuu,Namonai Hana - piano ver.,155089,ED2,https://v.animethemes.moe/ArsNoKyojuu-ED2.webm
Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san,Ibitsu na Kotoba,143064,OP,https://v.animethemes.moe/Tsunlise-OP1.webm
Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san,Hana no You ni,143064,ED,https://v.animethemes.moe/Tsunlise-ED1.webm
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,Gift,143338,OP,https://v.animethemes.moe/OtonariNoTenshiSama-OP1.webm
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,Chiisana Koi no Uta,143338,ED1,https://v.animethemes.moe/OtonariNoTenshiSama-ED1.webm
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,Ai Uta,143338,ED2,https://v.animethemes.moe/OtonariNoTenshiSama-ED2.webm
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,Kimi ni Todoke,143338,ED3,https://v.animethemes.moe/OtonariNoTenshiSama-ED3.webm
Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life,CHANGEMAKER,152523,OP,https://v.animethemes.moe/AnkokuHeishi-OP1.webm
Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life,Dear Doze Days,152523,ED,https://v.animethemes.moe/AnkokuHeishi-ED1.webm
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",SEIEN,130588,OP,https://v.animethemes.moe/MaouGakuinNoFutekigoushaS2-OP1.webm
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",Esoa,130588,ED1,https://v.animethemes.moe/MaouGakuinNoFutekigoushaS2-ED1.webm
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",Esoa,130588,ED1,https://v.animethemes.moe/MaouGakuinNoFutekigoushaS2-ED1v2.webm
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",Esoa (Ballad ver.),130588,ED2,https://v.animethemes.moe/MaouGakuinNoFutekigoushaS2-ED2.webm
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",Maou Sanbika Daigoban - Heiwa,130588,ED3,https://v.animethemes.moe/MaouGakuinNoFutekigoushaS2-ED3.webm
Tokyo Revengers: Seiya Kessen-hen,White Noise,142853,OP,https://v.animethemes.moe/TokyoRevengersS2-OP1.webm
Tokyo Revengers: Seiya Kessen-hen,"Kizutsukedo, Aishiteru.",142853,ED,https://v.animethemes.moe/TokyoRevengersS2-ED1.webm
"Ijiranaide, Nagatoro-san 2nd Attack",LOVE CRAZY,140596,OP,https://v.animethemes.moe/IjiranaideNagatoroSanS2-OP1.webm
"Ijiranaide, Nagatoro-san 2nd Attack",MY SADISTIC ADOLESCENCE♡,140596,ED,https://v.animethemes.moe/IjiranaideNagatoroSanS2-ED1.webm
NieR:Automata Ver1.1a,escalate,145665,OP,https://v.animethemes.moe/NieRAutomata-OP1.webm
NieR:Automata Ver1.1a,Antinomy,145665,ED1,https://v.animethemes.moe/NieRAutomata-ED1.webm
NieR:Automata Ver1.1a,Antinomy,145665,ED1,https://v.animethemes.moe/NieRAutomata-ED1v2.webm
NieR:Automata Ver1.1a,Weight of the World/English Version,145665,ED2,https://v.animethemes.moe/NieRAutomata-ED2.webm
UniteUp!,Unite up!,154969,OP,https://v.animethemes.moe/UniteUp-OP1.webm
UniteUp!,Iino,154969,ED1,https://v.animethemes.moe/UniteUp-ED1.webm
UniteUp!,Hoero! Crossfire (PROTOSTAR ver.),154969,ED2,https://v.animethemes.moe/UniteUp-ED2.webm
UniteUp!,FIRE,154969,ED3,https://v.animethemes.moe/UniteUp-ED3.webm
UniteUp!,Kibou no Koe,154969,ED4,https://v.animethemes.moe/UniteUp-ED4.webm
UniteUp!,Triplet,154969,ED5,https://v.animethemes.moe/UniteUp-ED5.webm
UniteUp!,A.P.P.L.E.,154969,ED6,https://v.animethemes.moe/UniteUp-ED6.webm
UniteUp!,call,154969,ED7,https://v.animethemes.moe/UniteUp-ED7.webm
UniteUp!,Yume no Tobira,154969,ED8,https://v.animethemes.moe/UniteUp-ED8.webm
Saikyou Onmyouji no Isekai Tenseiki,RECONNECTION,144553,OP,https://v.animethemes.moe/SaikyouOnmyouji-OP1.webm
