Kokkoku,Flashback,https://anilist.co/anime/100332/Kokkoku/,,https://animethemes.moe/video/Kokkoku-OP1.webm
Zombie Land Saga,Adabana Necromancy,https://anilist.co/anime/103871/Zombie-Land-Saga/,2,https://animethemes.moe/video/ZombielandSaga-OP2-NCBD1080.webm
Darling in the Franxx,Kiss of Death,https://anilist.co/anime/99423/Darling-in-the-Franxx/,2,https://animethemes.moe/video/DarlingInTheFranXX-OP2.webm
AoButa,Kimi no Sei,https://anilist.co/anime/101291/Seishun-Buta-Yarou-wa-Bunny-Girl-Senpai-no-Yume-wo-Minai/,,https://animethemes.moe/video/Aobuta-OP1-Lyrics.webm
Yuru Camp△,Shiny Days,https://anilist.co/anime/98444/Yuru-Camp/,,https://animethemes.moe/video/YuruCamp-OP1-BD1080.webm
Sora Yori,The Girls Are Alright,https://anilist.co/anime/99426/Sora-yori-mo-Tooi-Basho/,,https://animethemes.moe/video/Yorimoi-OP1-NCBD1080.webm
Pop Team Epic,Pop Team Epic,https://anilist.co/anime/98549/Poputepipikku/,2,https://animethemes.moe/video/PopTeamEpic-OP2-NCBD1080.webm
Hanebado,Futari no Hane,https://anilist.co/anime/101045/Hanebado/,,https://animethemes.moe/video/Hanebado-OP1-NCBD1080.webm
KoiAme,Nostalgic Rainfall,https://anilist.co/anime/98385/Koi-wa-Ameagari-no-You-ni/,,https://animethemes.moe/video/KoiWaAmeagariNoYouNi-OP1v2-NCBD1080.webm
Happy Sugar Life,One Room Sugar Life,https://anilist.co/anime/101351/Happy-Sugar-Life/,,https://animethemes.moe/video/HappySugarLife-OP1-NCBD1080.webm
Rakugo S2,Imawa no Shinigami,https://anilist.co/anime/21733/Shouwa-Genroku-Rakugo-Shinjuu-Sukeroku-Futatabihen/,,
Girls' Last Tour,"Ugoku, Ugoku",https://anilist.co/anime/99420/Shoujo-Shuumatsu-Ryokou/,,
Kakegurui,Deal with the Devil,https://anilist.co/anime/98314/Kakegurui/,,
3-gatsu no Lion 2,Flag wo Tatero,https://anilist.co/anime/98478/3gatsu-no-Lion-2/,,
Owarimonogatari 2,dark cherry mystery,https://anilist.co/anime/21745/Owarimonogatari-Ge/,3,
Dragon Maid,Aozora no Rhapsody,https://anilist.co/anime/21776/Kobayashisan-Chi-no-Maidragon/,,
Warau Salesman New,Don't,https://anilist.co/anime/98239/Warau-Salesman-New/,,
Princess Principal,The Other Side of the Wall,https://anilist.co/anime/98505/Princess-Principal/,,
My Hero Academia S2,Peace Sign,https://anilist.co/anime/21856/Boku-no-Hero-Academia-2/,,
Made in Abyss,Deep in Abyss,https://anilist.co/anime/97986/Made-in-Abyss/,2,
JoJo Part IV,Great Days,https://anilist.co/anime/21450/JoJo-no-Kimyou-na-Bouken-Diamond-wa-Kudakenai/,4,
3-gatsu no Lion,Answer,https://anilist.co/anime/21366/3gatsu-no-Lion/,,
Flip Flappers,Serendipity,https://anilist.co/anime/21714/Flip-Flappers/,,
Mob Psycho 100,99,https://anilist.co/anime/21507/Mob-Psycho-100/,,
Re:Zero,Redo,https://anilist.co/anime/21355/ReZero-kara-Hajimeru-Isekai-Seikatsu/,,
ERASED,Re:Re:,https://anilist.co/anime/21234/Boku-Dake-ga-Inai-Machi/,,
Haikyuu!! 2,Fly High,https://anilist.co/anime/20992/Haikyuu-2/,2,
Kiznaiver,Lay Your Hands On Me,https://anilist.co/anime/21421/Kiznaiver/,,
Boku no Hero Academia,The Day,https://anilist.co/anime/21459/Boku-no-Hero-Academia/,,
Yuri!!! on Ice,History Maker,https://anilist.co/anime/21709/Yuri-on-Ice/,,
